OrderId,CustomerId,OrderDate,OrderAmount,Currency
1,CUST0371,2025-08-23,469.51,EUR
2,CUST4067,2025-10-19,185.41,EUR
3,CUST3172,2025-11-20,125.63,USD
4,CUST4674,2025-13-01,48.12,JPY
5,CUST3708,2025-07-15,258.71,GBP
6,CUST0776,2025-08-22,-11,USD
7,CUST1807,2024-02-13,69.99,AUD
8,CUST0170,2024-04-01,294.41,JPY
9,CUST2198,2025-05-08,441.69,AUD
10,CUST1671,2024-10-04,492.46,JPY
11,CUST4773,2025-05-08,152.33,USD
12,CUST4374,2024-02-20,190.27,EUR
13,CUST3560,2024-12-25,297.02,GBP
14,CUST1350,2024-09-09,397.33,AUD
15,CUST4204,2025-09-05,151.4,JPY
16,CUST3950,2026-01-01,453.34,EUR
17,CUST2148,2024-12-20,108.35,AUD
18,CUST4796,2025-05-03,436.47,GBP
19,CUST1337,2024-05-05,437.76,JPY
20,CUST1186,2024-02-17,20.73,USD
21,CUST0942,2025-02-06,107.78,GBP
22,CUST1026,2025-13-01,27.09,AUD
23,CUST0763,2025-11-16,338.93,USD
24,CUST1022,2024-01-19,323.7,USD
25,CUST0994,2024-06-27,33.86,EUR
26,CUST0903,2024-08-08,74.98,EUR
27,CUST0330,2024-11-16,252.49,EUR
28,CUST0137,2025-07-14,342.78,GBP
29,CUST3083,2025-06-04,407.86,EUR
30,CUST2338,2025-02-16,72.08,EUR
31,CUST3065,2024-11-01,232.13,EUR
32,CUST2376,2025-05-20,403.19,GBP
33,CUST3268,2024-12-14,215.86,JPY
34,CUST1234,2024-10-17,326.57,USD
35,CUST3664,2025-06-05,52.2,GBP
36,CUST4956,2024-09-05,107.11,EUR
37,CUST4998,2025-11-11,13.58,JPY
38,CUST3862,2024-04-05,275.98,EUR
39,CUST3012,2024-01-08,76.03,JPY
40,CUST2029,2024-03-23,69.53,JPY
41,CUST3586,2025-13-01,29.54,AUD
42,CUST1516,2025-02-20,135.57,USD
43,CUST4817,2024-08-09,13.68,AUD
44,CUST0489,2025-13-01,324.72,AUD
45,CUST4798,2025-03-25,82.61,EUR
46,CUST3230,2024-05-23,134.2,GBP
47,CUST0793,2025-10-30,182.89,GBP
48,CUST0785,2025-09-15,332.83,AUD
49,CUST4703,2024-04-13,230.5,JPY
50,CUST0896,2024-07-16,128.92,JPY
51,CUST0291,2025-08-03,477.65,JPY
52,CUST0177,2024-04-18,441.02,JPY
53,CUST1960,2024-12-25,25.89,USD
54,CUST0562,2025-01-16,482.16,EUR
55,CUST2983,2024-08-23,236.3,EUR
56,CUST2298,2024-11-06,76.11,USD
57,CUST0632,2025-07-24,279.61,USD
58,CUST2473,2025-08-23,196.6,JPY
59,CUST1388,2025-02-03,228.73,AUD
60,CUST2403,2025-04-08,381.09,JPY
61,CUST2491,2025-05-12,70.73,AUD
62,CUST1611,2024-02-20,212.45,JPY
63,CUST2280,2025-12-18,328.35,EUR
64,CUST3303,2024-12-08,342.0,USD
65,CUST1672,2025-10-25,89.51,EUR
66,CUST3726,2025-05-21,447.16,EUR
67,CUST0656,2025-11-23,475.92,EUR
68,CUST4262,2024-07-23,258.82,JPY
69,CUST2951,2024-04-12,257.14,USD
70,CUST3637,2024-12-01,95.43,EUR
71,CUST4389,2025-06-29,198.75,GBP
72,CUST0957,2025-01-23,228.82,AUD
73,CUST4648,2025-04-10,472.9,AUD
